name,type,rclass
adFlag,categorical,integer
adFlag_trans,categorical,character
availability,categorical,character
availability_trans,categorical,character
campaignIndex,categorical,character
campaignIndex_is_na,categorical,integer
category,categorical,character
category_is_na,categorical,integer
competitorPrice_is_na,categorical,integer
content,categorical,character
deduplicated_pid,categorical,integer
fold,categorical,integer
genericProduct,categorical,integer
group,categorical,character
group_begin_num,categorical,character
is_discount,categorical,integer
is_lower_price,categorical,integer
isgreater_discount,categorical,integer
lineID,categorical,integer
manufacturer,categorical,character
pharmForm,categorical,character
pharmForm_is_na,categorical,integer
pid,categorical,integer
prev_adFlag,categorical,integer
prev_availability,categorical,character
price_gt_prev5,categorical,integer
price_lt_next5,categorical,integer
salesIndex,categorical,character
unit,categorical,character
basket,label,logical
click,label,logical
order,label,logical
order_qty,label,integer
revenue,label,numeric
avg_price_basket_info,numeric,numeric
avg_price_click_info,numeric,numeric
avg_price_diff_basket_info,numeric,numeric
avg_price_diff_click_info,numeric,numeric
avg_price_diff_order_info,numeric,numeric
avg_price_disc_diff_basket_info,numeric,numeric
avg_price_disc_diff_click_info,numeric,numeric
avg_price_disc_diff_order_info,numeric,numeric
avg_price_order_info,numeric,numeric
avg_revenue_by_group_10,numeric,numeric
avg_revenue_by_group_30,numeric,numeric
avg_revenue_by_group_7,numeric,numeric
basket_propensity,numeric,numeric
campaignIndex_d7cnt,numeric,numeric
category_d7cnt,numeric,numeric
click_propensity,numeric,numeric
cnt_basket_byday7,numeric,numeric
cnt_click_byday7,numeric,numeric
cnt_order_byday7,numeric,numeric
competitorPrice_discount,numeric,numeric
competitorPrice_imputed,numeric,numeric
competitorPrice_per_unit,numeric,numeric
content_d7cnt,numeric,numeric
content_part1,numeric,numeric
content_part2,numeric,numeric
content_part3,numeric,numeric
content_unit_pharmForm_likelihood,numeric,numeric
day,numeric,integer
day_adFlag_availability_campaignIndex_likelihood,numeric,numeric
day_mod_10,numeric,numeric
day_mod_14,numeric,numeric
day_mod_28,numeric,numeric
day_mod_30,numeric,numeric
day_mod_7,numeric,numeric
deduplicated_pid_likelihood,numeric,numeric
group_d7cnt,numeric,numeric
group_likelihood,numeric,numeric
inter_gcuca_cnt,numeric,numeric
inter_gcucd10_cnt,numeric,numeric
inter_gcucd30_cnt,numeric,numeric
inter_gcucd7_cnt,numeric,numeric
manu_group_likelihood,numeric,numeric
manufacturer_d7cnt,numeric,numeric
manufacturer_likelihood,numeric,numeric
next_pid_ref,numeric,numeric
next_price,numeric,numeric
next_price_pct_chg,numeric,numeric
next5_price_avg,numeric,numeric
next5_price_diff,numeric,numeric
next5_price_max,numeric,numeric
next5_price_min,numeric,numeric
num_cons_orders,numeric,numeric
num_pid_basket,numeric,numeric
num_pid_click,numeric,numeric
num_pid_order,numeric,numeric
order_propensity,numeric,numeric
order_qty_eq_1_prob,numeric,numeric
order_qty_gt_1_prob,numeric,numeric
percent_of_day,numeric,numeric
pharmForm_d7cnt,numeric,numeric
pharmForm_likelihood,numeric,numeric
pid_likelihood,numeric,numeric
pid_ref,numeric,numeric
prev_pid_ref,numeric,numeric
prev_price,numeric,numeric
prev_price_pct_chg,numeric,numeric
prev5_price_avg,numeric,numeric
prev5_price_diff,numeric,numeric
prev5_price_max,numeric,numeric
prev5_price_min,numeric,numeric
price,numeric,numeric
price_diff,numeric,numeric
price_discount,numeric,numeric
price_discount_diff,numeric,numeric
price_discount_mad,numeric,numeric
price_discount_max,numeric,numeric
price_discount_med,numeric,numeric
price_discount_min,numeric,numeric
price_discount_p25,numeric,numeric
price_discount_p75,numeric,numeric
price_per_unit,numeric,numeric
prob_cons_orders,numeric,numeric
prob_pid_basket,numeric,numeric
prob_pid_click,numeric,numeric
prob_pid_order,numeric,numeric
rrp,numeric,numeric
rrp_per_unit,numeric,numeric
salesIndex_d7cnt,numeric,numeric
salesIndex_likelihood,numeric,numeric
total_units,numeric,numeric
unit_d7cnt,numeric,numeric
